Time_s,Power_W,GPU_Temp_NoPCM_degC,GPU_Temp_Uniform_degC,GPU_Temp_HydraCore_degC
12.08,736.9486316872793,86.35438367439774,81.07360725760617,77.34905772116748
12.16,383.0763903521888,86.41772228199653,81.12179681826578,77.38646499872603
12.24,388.0154734233362,86.47572987672761,81.16663496093634,77.42147300788321
12.32,384.6528823029476,86.52836279535443,81.20809406405427,77.45406151663305
12.4,373.31321962380474,86.57558992797517,81.24615435938863,77.48421595167468
12.48,396.4282281451503,86.61739280679387,81.28080398741494,77.51192743823685
12.56,711.2789954903017,86.65376566285482,81.3120390326676,77.53719282548738
12.64,711.8654792056457,86.68471545059845,81.33986353898187,77.56001469746363
12.72,375.90612545205266,86.71026184017747,81.36428950458745,77.58040136949634
12.8,399.02794310936105,86.73043717755358,81.38533685706614,77.59836687013627
12.88,370.98148937207725,86.74528641247676,81.4030334082374,77.61393090862913
12.96,390.86857093800273,86.75486699452969,81.41741478908601,77.6271188280213
13.040000000000001,732.8568343871497,86.75924873750137,81.4285243648964,77.63796154401487
13.120000000000001,685.1419551230397,86.75851365243287,81.43641313080876,77.64649546972652
13.200000000000001,379.33702270397237,86.75275574975846,81.44113958806062,77.65276242654055
13.280000000000001,385.99651365087647,86.74208081104254,81.44276960122706,77.6568095412812
13.36,379.9652434588381,86.72660613088988,81.44137623682069,77.65868912996449
13.44,369.4933656893387,86.70646022968225,81.43703958365903,77.65845856842279
13.52,701.0284446220904,86.68178253786795,81.42984655545362,77.65618015012964
13.6,684.0654442941084,86.65272305260237,81.41989067611995,77.65192093158376
13.68,389.7359243063519,86.61944196760817,81.40727184835046,77.64575256564301
13.76,375.805757657662,86.58210927719082,81.392096106036,77.63775112322938
13.84,400.49934405017547,86.5409043554107,81.37447535116114,77.6279969038558
13.92,377.1674670766377,86.49601551147546,81.35452707583826,77.61657423545297
14.0,695.1690772569149,86.44763952247695,81.3323740701831,77.60357126400264
14.08,712.202758260545,86.39598114465363,81.30814411676987,77.58907973350836
14.16,372.6913568356605,86.34125260441417,81.28196967243798,77.57319475685973
14.24,387.2745993460413,86.28367307040827,81.25398753825458,77.55601457816945
14.32,398.0714275428243,86.22346810797985,81.22433851846691,77.53764032718297
14.4,368.9251676543878,86.1608691173808,81.19316706930614,77.51817576638197
14.48,386.8463385853231,86.09611275716576,81.16062093853031,77.49772703142003
14.56,703.8982419137263,86.0294403542248,81.12685079661706,77.47640236554662
14.64,711.7273430766596,85.96109730194566,81.09200986053816,77.45431184869028
14.72,372.63049289121926,85.89133244802599,81.0562535110664,77.43156712188556
14.8,371.7954338691573,85.82039747348333,81.019738904582,77.40828110773968
14.88,390.219415656169,85.74854626443191,80.98262458035926,77.38456772764557
14.96,387.9698467323319,85.67603427821432,80.94507006432579,77.36054161645531
15.040000000000001,703.7573927551881,85.60311790548941,80.90723547029566,77.33631783533512
15.120000000000001,705.1967231424546,85.53005382988945,80.86928109968386,77.31201158352738
15.200000000000001,378.19975278421515,85.45709838686396,80.83136704071362,77.28773790974758
15.280000000000001,387.3225369716101,85.38450692333113,80.79365276812925,77.26361142394576
15.36,387.93072473298685,85.31253315975493,80.75629674442602,77.23974601016042
15.44,377.8564858197364,85.24142855626013,80.71945602360445,77.21625454119027
15.52,727.9866176671713,85.17144168438693,80.68328585845045,77.1932485958051
15.6,707.1074938136768,85.10281760607342,80.64793931233345,77.17083817920964
15.68,373.0869650279736,85.03579726143462,80.61356687650355,77.14913144746721
15.76,391.56553608633834,84.97061686688612,80.58031609385456,77.12823443657895
15.84,375.2531832977268,84.90750732513241,80.54833119010361,77.10825079690346
15.92,392.8708460374246,84.84669364851204,80.51775271331931,77.0892815335875
16.0,717.3789336851111,84.78839439715604,80.48871718270922,77.07142475366378
16.080000000000002,687.6897652247244,84.73282113338011,80.46135674755419,77.05477542045477
16.16,394.6337612924433,84.68017789368932,80.43579885715116,77.03942511590289
16.240000000000002,389.12780926936506,84.63066067972943,80.41216594259856,77.0254618114276
16.32,393.220601599945,84.58445696947199,80.39057511122856,77.01296964788853
16.4,403.96792982653955,84.54174524986794,80.37113785445777,77.00202872521017
16.48,382.54611883997137,84.50269457215148,80.3539597697953,76.99271490220016
16.56,688.6939575346377,84.46746413091768,80.33914029770997,76.98509960706643
16.64,686.6572835556171,84.43620286803822,80.32677247402228,76.9792496591123
16.72,376.8418971503457,84.40904910241592,80.3169426984461,76.97522710205983
16.8,384.228982905859,84.3861301865143,80.30973051986572,76.97308904942291
16.88,388.4115197481665,84.36756219053022,80.30520843889052,76.97288754232012
16.96,387.76690799330026,84.35344961500805,80.30344172818594,76.97466942008742
17.04,712.4077487355404,84.34388513262188,80.30448827103572,76.97847620401696
17.12,700.1950283781686,84.33894935977864,80.30839841854251,76.98434399451617
17.2,399.5353407715732,84.33871065861968,80.31521486582822,76.99230338194684
17.28,382.3534316676205,84.34322496992158,80.32497254754729,77.00237937136967
17.36,412.20169166589625,84.3525356773186,80.33769855297638,77.01459132138409
17.44,391.2566734776501,84.36667350319073,80.35341206089585,77.02895289721853
17.52,687.1426366537557,84.38565643648045,80.37212429442735,77.04547203818922
17.6,683.9366125290833,84.40948969262145,80.39383849594195,77.06415093960996
17.68,389.8247241524319,84.43816570568077,80.41854992210232,77.08498604919889
17.76,382.7653721467415,84.47166415273502,80.4462458590518,77.10796807799098
17.84,392.14000494092096,84.50995201041931,80.4769056577121,77.13308202572911
17.92,389.7323762457355,84.55298364350692,80.51050078910079,77.16030722066961
18.0,698.9075663101469,84.60070092529614,80.54699491952886,77.18961737370162
18.080000000000002,687.2980942289739,84.65303338950102,80.58634400548866,77.22098064664394
18.16,369.8515277531414,84.70989841326237,80.62849640799307,77.25435973454655
18.240000000000002,380.53485047932986,84.77120143081781,80.67339302607645,77.2897119617895
18.32,393.5639879432348,84.83683617729105,80.72096744912136,77.3269893917359
18.400000000000002,387.14093744130207,84.90668496198552,80.7711461276256,77.36613894966258
18.48,372.54261221288016,84.98061897049202,80.82384856197874,77.40710255865778
18.56,702.5977138877678,85.05849859484825,80.87898750877167,77.44981728814246
18.64,705.7797606959325,85.14017379091622,80.9364692041178,77.4942155146407
18.72,376.1614256379887,85.22548446207531,80.9961936034221,77.54022509439247
18.8,386.53725105945534,85.31426086826274,81.05805463699276,77.5877695473733
18.88,385.5820871844601,85.40632405932767,81.12194048084952,77.63676825225586
18.96,373.5702970216938,85.50148633160573,81.1877338420451,77.68713665182113
19.04,705.3668104052242,85.59955170656032,81.25531225777904,77.73878646830025
19.12,708.4117678955236,85.70031643028233,81.32454840754855,77.79162592810329
19.2,395.8305124317528,85.80356949258714,81.39531043754795,77.84555999536724
19.28,395.5380205203491,85.90909316439769,81.4674622964977,77.90049061373335
19.36,371.2233063204292,86.01666355205664,81.54086408205445,77.95631695574312
19.44,375.62174960084883,86.12605116716827,81.61537239692754,78.01293567922318
19.52,707.7255290081299,86.23702151053027,81.69084071380239,78.07024119001109
19.6,707.7067892636832,86.34933566868163,81.7671197481493,78.12812591035907
19.68,390.15047686306053,86.46275092155942,81.84405783797578,78.18648055233722
19.76,423.52731490654725,86.57702135973032,81.92150132956358,78.24519439554565
19.84,390.70890510693175,86.69189850963804,81.99929496821605,78.30415556843462
19.92,396.3556564018061,86.80713196528735,82.07728229302889,78.36325133252149
20.0,875.0000000000001,86.92247002476982,82.15530603468741,78.42236836878682
20.080000000000002,886.7557050458491,87.0376603300235,82.23320851528545,78.48139306552655
20.16,855.9788696740972,87.15245050821086,82.31083204915603,78.54021180693259
20.240000000000002,894.0211303259034,87.26658881309535,82.38801934370173,78.59871126167336
20.32,863.2442949541514,87.37982476479667,82.46461389921204,78.65677867074537
20.400000000000002,875.0000000000015,87.49190978630897,82.54046040665811,78.71430213386829
20.48,886.7557050458498,87.60259783517468,82.61540514246002,78.77117089370088
20.56,855.9788696740968,87.71164602871863,82.68929635922973,78.82727561715924
20.64,894.0211303259031,87.8188152612632,82.7619846715026,78.88250867312705
20.72,863.2442949541521,87.923870811766,82.83332343548327,78.93676440585647
20.8,875.0000000000007,88.02658294034543,82.90316912184699,78.98993940336898
20.88,886.7557050458506,88.12672747218757,82.97138168065457,79.0419327601782
20.96,855.9788696740966,88.22408636735967,83.03782489745943,79.09264633367125
