Time_s,Power_W,Python_Baseline_degC,Python_HydraCore_degC,Elmer_FEM_Steady_degC
15.850000000000001,377.9233053438123,29.433338055186418,29.330077668148917,53.52
15.9,389.43819428146236,29.42201915513808,29.318705283092022,53.52
15.950000000000001,392.74634053429344,29.41072892525547,29.307362462398917,53.52
16.0,686.0960429263288,29.3997663956583,29.296362873256477,53.52
16.05,699.107119659073,29.388732174261502,29.28528475390466,53.52
16.1,651.3809898989639,29.37766960747707,29.274175677560066,53.52
16.150000000000002,374.75612358665717,29.366371555683664,29.262819557015906,53.52
16.2,382.47431848606846,29.355218465434287,29.25161786350765,53.52
16.25,372.52216818035157,29.34408448722377,29.24043631898105,53.52
16.3,401.3241130393164,29.333012836938032,29.229319823286172,53.52
16.35,370.69858622039374,29.321927753161024,29.218188531665415,53.52
16.400000000000002,380.5995551330302,29.31089323072102,29.207110065607157,53.52
16.45,386.307405772861,29.29988983273805,29.19606376567725,53.52
16.5,721.6190993359917,29.289255343388472,29.185403890933674,53.52
16.55,678.4620677323084,29.27847466386433,29.174586915813162,53.52
16.6,717.4474562823244,29.267774812323747,29.163853942746044,53.52
16.650000000000002,385.1023306101959,29.25674867640069,29.152777941924366,53.52
16.7,375.18491348952057,29.245869375455378,29.141858683495013,53.52
16.75,389.6210347426328,29.23504081565706,29.13099302514536,53.52
16.8,386.99059695573476,29.224232459493148,29.120148026993366,53.52
16.85,378.9978312284121,29.213444996457753,29.109324484729775,53.52
16.900000000000002,385.6980208499003,29.202695638781112,29.09854053686658,53.52
16.95,381.14686403138245,29.1919671738459,29.087777997620346,53.52
17.0,701.7027601787687,29.18159582717298,29.077389611434427,53.52
17.05,709.9319601178157,29.171135922870942,29.066904733653494,53.52
17.1,723.7902522421803,29.160710625743565,29.05645489583074,53.52
17.150000000000002,372.6218450117316,29.149948245340788,29.04565082753688,53.52
17.2,406.3303337465627,29.139384128978254,29.03505766979451,53.52
17.25,365.47912200477504,29.128796794002483,29.024440141789604,53.52
17.3,383.48214904964425,29.118271018452987,29.01388709106493,53.52
17.35,390.88317206484584,29.10777375227494,29.003363389938947,53.52
17.400000000000002,387.80991867735037,29.097297676521777,28.992861341211693,53.52
17.45,378.7730048017941,29.086840799193077,28.982378973660044,53.52
17.5,696.8781662446409,29.076739670244663,28.972269376469146,53.52
17.55,692.6049859801175,29.06653751067892,28.96205023063695,53.52
17.6,691.1595286458369,29.056358521989505,28.951854249027253,53.52
17.650000000000002,393.4960209702103,29.045902528337887,28.9413672227531,53.52
17.7,388.57015485965053,29.03558400505096,28.93102684135968,53.52
17.75,378.0709040473935,29.025286975393787,28.92070924199564,53.52
17.8,393.99599875433256,29.015037299446075,28.9104409912731,53.52
17.85,388.07299520876614,29.004802273573862,28.90018750165935,53.52
17.900000000000002,393.1286211883897,28.994601228017856,28.889969202628045,53.52
17.95,391.2962884192362,28.984423028725207,28.879774352014095,53.52
18.0,687.565074836169,28.9745746688541,28.869924999882556,53.52
18.05,691.5972843970454,28.964641469641336,28.85998327106437,53.52
18.1,711.209404076849,28.95474928124036,28.85008337625024,53.52
18.150000000000002,391.1037026543347,28.944548177997987,28.839858735293056,53.52
18.2,384.7909840603586,28.934490907053807,28.829787576472906,53.52
18.25,386.1732738330879,28.92446737007213,28.819752091026242,53.52
18.3,397.7766489578843,28.914481483431377,28.80975565721974,53.52
18.35,379.08428611164175,28.904498053048762,28.799761202542452,53.52
18.400000000000002,390.47097381170045,28.89455940115283,28.78981339016214,53.52
18.45,382.9780734756611,28.88463482530786,28.779879785891982,53.52
18.5,696.7347819515917,28.875059414046643,28.770311985668382,53.52
18.55,716.4816527798079,28.86540779739615,28.760660697026,53.52
18.6,712.3812452348204,28.855765955364323,28.751018278085052,53.52
18.650000000000002,393.13509636000646,28.84582441613841,28.741060969295354,53.52
18.7,398.0547880715433,28.836037437643615,28.73126843015242,53.52
18.75,385.2100384163276,28.826264606135787,28.721490902646085,53.52
18.8,391.8195297129497,28.816529048238195,28.711752138916943,53.52
18.85,381.8973324340655,28.806806343186366,28.702026331191902,53.52
18.900000000000002,388.2416635248845,28.797119253046205,28.692337473507468,53.52
18.95,383.6985694563232,28.78745044941614,28.68266726381531,53.52
19.0,701.4549394748908,28.778133141441586,28.67336527717185,53.52
19.05,708.9273553815538,28.76872483660257,28.663964234928343,53.52
19.1,687.7266897514979,28.759312908271436,28.654558113476273,53.52
19.150000000000002,405.9238727568547,28.749645687654976,28.644883866569174,53.52
