Time_s,Power_W,GPU_Temp_No_PCM_degC,PCM_Melt_No_PCM_frac,GPU_Temp_Uniform_PCM_degC,PCM_Melt_Uniform_PCM_frac,GPU_Temp_Hydra_Core_degC,PCM_Melt_Hydra_Core_frac
1.05,895.0,34.458003630895156,0.0,34.44344787331351,0.0,34.44280662285786,0.0
1.1,875.0,34.43386655360657,0.0,34.41864335455278,0.0,34.41800431640268,0.0
1.1500000000000001,855.0,34.40977952214904,0.0,34.39389175184268,0.0,34.39325519963289,0.0
1.2000000000000002,875.0000000000001,34.38578372062725,0.0,34.36923900288176,0.0,34.36860255306056,0.0
1.25,895.0,34.36186344307709,0.0,34.34466613391058,0.0,34.34402950837167,0.0
1.3,875.0,34.33797717780529,0.0,34.320126850664344,0.0,34.31949242849523,0.0
1.35,855.0,34.31414030404227,0.0,34.29563977129386,0.0,34.295007826143845,0.0
1.4000000000000001,875.0000000000001,34.29039400759967,0.0,34.27125083540986,0.0,34.27061898374195,0.0
1.4500000000000002,895.0,34.26672258421599,0.0,34.24694107115998,0.0,34.24630903488243,0.0
1.5,707.4507122951685,34.24291337550307,0.0,34.222474611631064,0.0,34.22185482693339,0.0
1.55,697.9260354824322,34.21922890703927,0.0,34.19815053138022,0.0,34.197533752363356,0.0
1.6,709.7153280715104,34.19562408624262,0.0,34.17391340611017,0.0,34.17329722073026,0.0
1.6500000000000001,400.23029856408033,34.17176032364067,0.0,34.14938603412569,0.0,34.14878950130799,0.0
1.7000000000000002,382.6584662527667,34.148060524069294,0.0,34.12504944581128,0.0,34.12445726285062,0.0
1.75,382.65863043050825,34.12443287728044,0.0,34.100792796945306,0.0,34.100202043995864,0.0
1.8,400.79212815507395,34.100885701497866,0.0,34.07662244289442,0.0,34.07603178380068,0.0
1.85,392.67434729152916,34.07738465470557,0.0,34.052499334088864,0.0,34.05191020106713,0.0
1.9000000000000001,380.30525614065056,34.0539352186133,0.0,34.02843043469551,0.0,34.02784325293345,0.0
1.9500000000000002,390.4256004358597,34.03056216914043,0.0,34.00444355951771,0.0,34.00385701847022,0.0
2.0,693.0487346078131,34.00755544593492,0.0,33.98085901388937,0.0,33.98025540089611,0.0
2.0500000000000003,693.0140536964461,33.98449146732023,0.0,33.957195740332445,0.0,33.95659117310369,0.0
2.1,703.6294340734905,33.96149506298794,0.0,33.93360179434958,0.0,33.932997581290174,0.0
2.15,671.300796330133,33.93852141523687,0.0,33.91002936747601,0.0,33.90942813997106,0.0
2.2,367.7508216748697,33.91531001949228,0.0,33.886191700008226,0.0,33.88561003642885,0.0
2.25,379.3771247075903,33.89228890674286,0.0,33.862574100418676,0.0,33.861994990307316,0.0
2.3000000000000003,374.8716887966558,33.86932222021676,0.0,33.839015646124366,0.0,33.83843800945777,0.0
2.35,388.1424733259528,33.846430722725785,0.0,33.8155376168448,0.0,33.814960359541885,0.0
2.4000000000000004,375.91975924478794,33.82358137380217,0.0,33.79210267373754,0.0,33.79152720006175,0.0
2.45,370.87696298664713,33.80079106456293,0.0,33.76873040835973,0.0,33.768156453472066,0.0
2.5,721.9847315338233,33.778420947428955,0.0,33.74582076454415,0.0,33.7452269104986,0.0
2.5500000000000003,696.613355492702,33.755947439856776,0.0,33.72277950304654,0.0,33.72218586425325,0.0
2.6,701.0129230703188,33.73354287600927,0.0,33.69980975570938,0.0,33.69921697449942,0.0
2.6500000000000004,370.7525181378655,33.71085787097983,0.0,33.67652614517031,0.0,33.675954263916665,0.0
2.7,379.5561727547482,33.688368820897544,0.0,33.653469701772885,0.0,33.652900690929286,0.0
2.75,386.1092258970987,33.665945489407775,0.0,33.6304852485607,0.0,33.62991705815401,0.0
2.8000000000000003,373.490064225777,33.64356524428406,0.0,33.607545284744035,0.0,33.60697893282859,0.0
2.85,388.7569801834568,33.621263789947264,0.0,33.58468997450618,0.0,33.58412391079438,0.0
2.9000000000000004,378.993613100812,33.59900477543343,0.0,33.56187808485429,0.0,33.56131362478297,0.0
2.95,382.08306250206726,33.57681059561168,0.0,33.53913521480524,0.0,33.53857174554546,0.0
3.0,690.9744008165591,33.55498875323001,0.0,33.51680164719255,0.0,33.51622073287314,0.0
3.0500000000000003,727.7841727676341,33.53314185309874,0.0,33.49442488446145,0.0,33.49384072034636,0.0
3.1,699.797541628931,33.511305591347785,0.0,33.47205292941574,0.0,33.47147113353393,0.0
3.1500000000000004,374.42289071044104,33.48920423746537,0.0,33.449384970120484,0.0,33.44882395495684,0.0
