Time_s,Power_W,OpenFOAM_Junction_Temp_degC,Baseline_NoPCM_degC,Uniform_PCM_degC
15.92,392.8708460374246,77.30967343665063,29.412916417480446,29.309954315845566
16.0,717.3789336851111,77.29234561222906,29.39536433383676,29.2923597435083
16.080000000000002,687.6897652247244,77.27622171988068,29.377713930975023,29.274635498493673
16.16,394.6337612924433,77.2613933649009,29.359736551938788,29.256550876489264
16.240000000000002,389.12780926936506,77.24794854190706,29.341943756140548,29.238679829437995
16.32,393.220601599945,77.23597141480246,29.32423462801494,29.220897353706494
16.4,403.96792982653955,77.22554210640222,29.3066128088074,29.20320570540578
16.48,382.54611883997137,77.21673649825246,29.28903011575142,29.18555191225229
16.56,688.6939575346377,77.20962604114851,29.271958315051812,29.168452101444185
16.64,686.6572835556171,77.20427757683102,29.254832496133506,29.151272163993912
16.72,376.8418971503457,77.20075317131032,29.237343064456272,29.13369049339384
16.8,384.228982905859,77.19910996024043,29.220060810513186,29.116347913079238
16.88,388.4115197481665,77.19940000673297,29.20285515097175,29.099085592714168
16.96,387.76690799330026,77.20167017197082,29.18571863243258,29.081894291350945
17.04,712.4077487355404,77.20596199894784,29.169108788841026,29.06527309092869
17.12,700.1950283781686,77.21231160962905,29.15242123314258,29.04854485815899
17.2,399.5353407715732,77.22074961579055,29.13538504060787,29.03143176134608
17.28,382.3534316676205,77.23130104376504,29.11851609224149,29.014513795843794
17.36,412.20169166589625,77.24398527328262,29.10176776582794,28.99772548286343
17.44,391.2566734776501,77.25881599056204,29.0850480853306,28.980962753036714
17.52,687.1426366537557,77.2758011557703,29.06882102717066,28.96473408236816
17.6,683.9366125290833,77.29494298493347,29.05253889064425,28.948424799699797
17.68,389.8247241524319,77.31623794634434,29.035912154567107,28.931734720639604
17.76,382.7653721467415,77.33967677147582,29.019462478240893,28.915250120532356
17.84,392.14000494092096,77.36524448037294,29.003098897508146,28.898856982732113
17.92,389.7323762457355,77.39292042145924,28.986796474400016,28.882526027082722
18.0,698.9075663101469,77.4226783256571,28.970996251966138,28.866738667223704
18.080000000000002,687.2980942289739,77.45448637468543,28.955121982246254,28.850849243253204
18.16,369.8515277531414,77.48830728336215,28.938871998029985,28.83454556295844
18.240000000000002,380.53485047932986,77.52409839570383,28.922831746346993,28.818484374557055
18.32,393.5639879432348,77.56181179457968,28.90687403218973,28.802509922125893
18.400000000000002,387.14093744130207,77.60139442464298,28.890968602185556,28.786587749916972
18.48,372.54261221288016,77.64278822822969,28.875111525134248,28.77071462074906
18.56,702.5977138877678,77.6859302938806,28.859789013385296,28.755421176770874
18.64,705.7797606959325,77.7307530171126,28.84440290736703,28.740036004580787
18.72,376.1614256379887,77.77718427303225,28.828615967023833,28.72420833183964
18.8,386.53725105945534,77.82514760035627,28.8130411866341,28.708626474448938
18.88,385.5820871844601,77.87456239637409,28.797527589811025,28.693108197344873
18.96,373.5702970216938,77.92534412235966,28.782062188612816,28.677638587963294
19.04,705.3668104052242,77.97740451891427,28.767131097513637,28.6627482683292
19.12,708.4117678955236,78.03065183069606,28.752133877544644,28.647763397733495
19.2,395.8305124317528,78.08499103996886,28.73675812532916,28.632360391529218
19.28,395.5380205203491,78.14032410838024,28.721571052946423,28.617176697156296
19.36,371.2233063204292,78.19655022635848,28.706414985824846,28.602024258757837
19.44,375.62174960084883,78.25356606949809,28.691338021436994,28.586955587355433
19.52,707.7255290081299,78.31126606128646,28.676787738565444,28.57245711728583
19.6,707.7067892636832,78.36954264150837,28.662165237542947,28.55785742359859
19.68,390.15047686306053,78.42828653964995,28.647156891928688,28.542831840272267
19.76,423.52731490654725,78.48738705261168,28.632384888934272,28.528077874585936
19.84,390.70890510693175,78.54673232602919,28.61761680204004,28.5133238147425
19.92,396.3556564018061,78.60620963849102,28.602931173915696,28.498657568496995
20.0,875.0000000000001,78.66570568793556,28.588975519792466,28.484783178202687
20.080000000000002,886.7557050458491,78.72510687950377,28.574903051881606,28.47075078123756
20.16,855.9788696740972,78.78429961412075,28.5608388936265,28.456721013646796
20.240000000000002,894.0211303259034,78.84317057707695,28.546898902574952,28.442824499946017
20.32,863.2442949541514,78.90160702588034,28.53295884059442,28.42892217589244
20.400000000000002,875.0000000000015,78.95949707665247,28.51910548516179,28.415112235345653
20.48,886.7557050458498,79.01672998834492,28.505321820810895,28.4013740313387
20.56,855.9788696740968,79.0731964440584,28.491547726958952,28.387641855241224
20.64,894.0211303259031,79.1287888287536,28.477896624695497,28.374041752527855
20.72,863.2442949541521,79.18340150265294,28.46424424752969,28.36043456958512
20.8,875.0000000000007,79.236931069642,28.45067737750042,28.3469185037642
20.88,886.7557050458506,79.2892766399931,28.437179004135896,28.33347291349149
20.96,855.9788696740966,79.34034008674736,28.423689011832984,28.320032095546644
21.04,894.0211303259028,79.39002629510757,28.41032082664023,28.30672210079195
21.12,863.244294954151,79.43824340421203,28.39695018700509,28.29340378097821
21.2,874.9999999999998,79.48490304067857,28.383663879884242,28.280175338798202
21.28,886.7557050458495,79.52992054332924,28.37044489970313,28.26701613799686
21.36,855.9788696740964,79.57321517852735,28.35723313573546,28.253860480649557
21.44,894.0211303259033,79.6147103455838,28.344142018886227,28.2408344228915
21.52,714.310026452398,79.65433377171323,28.330838556675705,28.227571246464926
21.6,709.770868769587,79.69201769604788,28.31765587933131,28.214446075598083
21.68,381.8473075535966,79.72769904224451,28.304071329412086,28.200880164864273
21.76,392.5896922049327,79.761319579248,28.290689670549753,28.18755027273172
21.84,377.2717478546243,79.79282606980598,28.277339767324616,28.174252157758605
21.92,382.6318139326,79.82217040635932,28.264059128733717,28.161026789990963
22.0,692.7195467825635,79.84930973396509,28.25126639341046,28.14832950810204
22.080000000000002,701.2281120907949,79.87420655994174,28.238414863787337,28.135547122388598
22.16,408.1465856667351,79.89682884995942,28.22520111347354,28.122364471664476
22.240000000000002,366.3273480740826,79.91715011033298,28.21210100150798,28.109318509181193
22.32,391.8626019037452,79.93514945630963,28.19910956652515,28.09639103419759
22.400000000000002,368.87284128810353,79.95081166617886,28.18613010290113,28.083471816977386
22.48,380.2806813421057,79.96412722106814,28.17322980577121,28.070636530965686
22.56,716.3342589545105,79.97509233032373,28.160849838230657,28.058364430688123
22.64,700.964200286432,79.98370894241273,28.148365471800922,28.045956083174644
22.72,374.222552220707,79.98998474131866,28.135479591757022,28.03310591848558
22.8,377.8469629074004,79.99393312844005,28.12278326101638,28.02047724504865
22.88,391.7959774893468,79.99557319003743,28.11015968819901,28.00792555025134
22.96,377.6963336828287,79.99492965031153,28.09756340980951,27.99539933866297
23.04,703.2468788437296,79.99203281023063,28.085481482613773,27.983431122826833
23.12,700.6835775985572,79.98691847226218,28.073316195833684,27.97135033823351
23.2,378.48399652394187,79.97962785119877,28.060749365770118,27.958827081224353
23.28,406.43944089325333,79.97020747130341,28.048402972005807,27.94655873145196
23.36,391.3391902231802,79.95870905003453,28.036077407102255,27.934309409453213
23.44,364.748574133424,79.94518936864412,28.02377187805618,27.922079233048436
23.52,702.7968147215414,79.92971012997597,28.012002151434228,27.910431307968366
23.6,690.0732030284742,79.9123378038235,28.000128592793324,27.898647897126796
23.68,393.5243333479623,79.89314346023764,27.987892223720365,27.88646480895767
23.76,377.07479261567306,79.87220259120586,27.975802471314918,27.874454797164773
23.84,383.8526355853311,79.84959492115337,27.963780766946847,27.862517724905985
23.92,390.0498727898046,79.82540420674427,27.951815266355048,27.850638234177442
24.0,712.9863279125518,79.7997180264895,27.940349744359605,27.8393000608611
24.080000000000002,681.9955538941633,79.77262756069233,27.928759389983366,27.82780426261563
